instrument_name,expiration,strike,option_type,last_price,mark_price,underlying_price,bid,ask,iv,volume,open_interest,underlying_index,quotes_quantity,time_to_expiry,is_call
ETH-12MAY25-2450-P,2025-05-12,2450.0,put,0.0135,0.0092,2475.7522,0.0085,0.0095,0.8432,1198.0,1356.0,SYN.ETH-12MAY25,,0.0027397260273972603,False
ETH-12MAY25-2475-C,2025-05-12,2475.0,call,0.01,0.0138,2475.7522,0.0135,0.014,0.8283,808.0,1376.0,SYN.ETH-12MAY25,,0.0027397260273972603,True
ETH-12MAY25-2475-P,2025-05-12,2475.0,put,0.014,0.0135,2475.7322,0.013,0.014,0.8283,844.0,612.0,SYN.ETH-12MAY25,,0.0027397260273972603,False
ETH-12MAY25-2500-C,2025-05-12,2500.0,call,0.008,0.0095,2475.7322,0.009,0.01,0.8382999999999999,427.0,3681.0,SYN.ETH-12MAY25,,0.0027397260273972603,True
ETH-12MAY25-2500-P,2025-05-12,2500.0,put,0.0165,0.0193,2475.7322,0.019,0.0205,0.8382999999999999,2208.0,1616.0,SYN.ETH-12MAY25,,0.0027397260273972603,False
ETH-12MAY25-2525-C,2025-05-12,2525.0,call,0.0055,0.0063,2475.7322,0.006,0.0065,0.846,580.0,662.0,SYN.ETH-12MAY25,,0.0027397260273972603,True
ETH-12MAY25-2525-P,2025-05-12,2525.0,put,0.0185,0.0262,2475.7322,0.023,0.03,0.846,622.0,433.0,SYN.ETH-12MAY25,,0.0027397260273972603,False
ETH-12MAY25-2550-C,2025-05-12,2550.0,call,0.0032,0.0041,2475.7635,0.0038,0.0043,0.8644,1219.0,1192.0,SYN.ETH-12MAY25,,0.0027397260273972603,True
ETH-12MAY25-2550-P,2025-05-12,2550.0,put,0.0215,0.0341,2475.7635,0.0027,0.067,0.8644,180.0,142.0,SYN.ETH-12MAY25,,0.0027397260273972603,False
ETH-12MAY25-2575-C,2025-05-12,2575.0,call,0.0038,0.0028,2475.7635,0.0025,0.0028,0.8924,1197.0,589.0,SYN.ETH-12MAY25,,0.0027397260273972603,True
ETH-12MAY25-2575-P,2025-05-12,2575.0,put,0.055,0.0428,2475.7635,0.042,0.046,0.8924,507.0,406.0,SYN.ETH-12MAY25,,0.0027397260273972603,False
ETH-12MAY25-2600-C,2025-05-12,2600.0,call,0.0018,0.0019,2475.7635,0.0016,0.0019,0.9309000000000001,1205.0,1181.0,SYN.ETH-12MAY25,,0.0027397260273972603,True
ETH-12MAY25-2600-P,2025-05-12,2600.0,put,0.056,0.0521,2475.8049,0.0155,0.097,0.9305,94.0,68.0,SYN.ETH-12MAY25,,0.0027397260273972603,False
ETH-12MAY25-2625-C,2025-05-12,2625.0,call,0.0014,0.0013,2475.8049,0.0011,0.0013,0.9706999999999999,488.0,367.0,SYN.ETH-12MAY25,,0.0027397260273972603,True
ETH-12MAY25-2625-P,2025-05-12,2625.0,put,0.032,0.0616,2475.8049,0.025,0.106,0.9706999999999999,1.0,1.0,SYN.ETH-12MAY25,,0.0027397260273972603,False
ETH-12MAY25-2650-C,2025-05-12,2650.0,call,0.0008,0.001,2475.8049,0.0008,0.001,1.0170000000000001,4295.0,2780.0,SYN.ETH-12MAY25,,0.0027397260273972603,True
ETH-12MAY25-2650-P,2025-05-12,2650.0,put,0.056,0.0713,2475.8049,0.0345,0.116,1.0170000000000001,180.0,176.0,SYN.ETH-12MAY25,,0.0027397260273972603,False
ETH-12MAY25-2675-C,2025-05-12,2675.0,call,0.001,0.0007,2475.8049,0.0006,0.0008,1.07,43.0,40.0,SYN.ETH-12MAY25,,0.0027397260273972603,True
ETH-12MAY25-2675-P,2025-05-12,2675.0,put,,0.0812,2475.8049,0.0001,0.1265,1.07,0.0,0.0,SYN.ETH-12MAY25,,0.0027397260273972603,False
ETH-12MAY25-2700-C,2025-05-12,2700.0,call,0.0007,0.0005,2475.8049,0.0003,0.0006,1.0897,1035.0,869.0,SYN.ETH-12MAY25,,0.0027397260273972603,True
ETH-12MAY25-2700-P,2025-05-12,2700.0,put,0.069,0.091,2475.8049,0.0021,0.136,1.0897,2.0,0.0,SYN.ETH-12MAY25,,0.0027397260273972603,False
ETH-12MAY25-2750-C,2025-05-12,2750.0,call,0.0002,0.0003,2475.8049,0.0002,0.0004,1.2009,369.0,5488.0,SYN.ETH-12MAY25,,0.0027397260273972603,True
ETH-12MAY25-2750-P,2025-05-12,2750.0,put,0.112,0.1112,2475.4068,0.0021,0.1205,1.2003,2.0,1.0,SYN.ETH-12MAY25,,0.0027397260273972603,False
ETH-12MAY25-2800-C,2025-05-12,2800.0,call,0.0002,0.0002,2475.4068,0.0001,0.0002,1.2812999999999999,958.0,889.0,SYN.ETH-12MAY25,,0.0027397260273972603,True
ETH-12MAY25-2800-P,2025-05-12,2800.0,put,,0.1313,2475.4068,0.0001,0.0,1.2812999999999999,0.0,0.0,SYN.ETH-12MAY25,,0.0027397260273972603,False
ETH-12MAY25-2850-C,2025-05-12,2850.0,call,0.0002,0.0001,2475.4068,0.0,0.0001,1.2897999999999998,845.0,885.0,SYN.ETH-12MAY25,,0.0027397260273972603,True
ETH-12MAY25-2850-P,2025-05-12,2850.0,put,,0.1514,2475.4068,0.0001,0.0,1.2897999999999998,0.0,0.0,SYN.ETH-12MAY25,,0.0027397260273972603,False
ETH-12MAY25-2900-C,2025-05-12,2900.0,call,0.0001,0.0,2474.9441,0.0,0.0003,1.2919,177.0,412.0,SYN.ETH-12MAY25,,0.0027397260273972603,True
ETH-12MAY25-2900-P,2025-05-12,2900.0,put,,0.1718,2474.9441,0.0,0.0,1.2919,0.0,0.0,SYN.ETH-12MAY25,,0.0027397260273972603,False
ETH-12MAY25-2950-C,2025-05-12,2950.0,call,0.0001,0.0,2474.9441,0.0,0.0001,1.3237,149.0,369.0,SYN.ETH-12MAY25,,0.0027397260273972603,True
ETH-12MAY25-2950-P,2025-05-12,2950.0,put,,0.192,2474.9441,0.0,0.0,1.3237,0.0,0.0,SYN.ETH-12MAY25,,0.0027397260273972603,False
ETH-12MAY25-3000-C,2025-05-12,3000.0,call,0.0002,0.0,2474.9441,0.0,0.0002,1.375,351.0,733.0,SYN.ETH-12MAY25,,0.0027397260273972603,True
ETH-12MAY25-3000-P,2025-05-12,3000.0,put,,0.2122,2474.8428,0.0,0.0,1.375,0.0,0.0,SYN.ETH-12MAY25,,0.0027397260273972603,False
